"","income","sex","age","eduyears","eastwest","socialclass_self","leftright"
"786",2950,"MANN",31,9,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","6"
"787",NA,"MANN",34,10,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","4"
"788",NA,"MANN",21,12,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","2"
"789",700,"FRAU",63,11,"ALTE BUNDESLAENDER","MITTELSCHICHT","3"
"790",400,"FRAU",27,20,"NEUE BUNDESLAENDER","MITTELSCHICHT","6"
"791",1000,"MANN",73,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","8"
"792",2300,"MANN",75,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"793",NA,"FRAU",57,13,"NEUE BUNDESLAENDER","MITTELSCHICHT","4"
"794",NA,"FRAU",45,16,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","5"
"795",700,"MANN",25,11,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"796",1300,"MANN",24,11,"ALTE BUNDESLAENDER",NA,"6"
"797",1050,"MANN",74,8,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","8"
"798",2200,"MANN",53,8,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","6"
"799",NA,"MANN",68,10,"NEUE BUNDESLAENDER","MITTELSCHICHT","3"
"800",NA,"MANN",42,13,"ALTE BUNDESLAENDER","MITTELSCHICHT","2"
"801",1000,"MANN",31,14,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","6"
"802",NA,"FRAU",58,13,"NEUE BUNDESLAENDER","MITTELSCHICHT","6"
"803",800,"FRAU",43,13,"ALTE BUNDESLAENDER","MITTELSCHICHT","7"
"804",1700,"FRAU",49,13,"ALTE BUNDESLAENDER","MITTELSCHICHT","4"
"805",NA,"FRAU",57,20,"ALTE BUNDESLAENDER","MITTELSCHICHT","3"
"806",2000,"MANN",72,13,"NEUE BUNDESLAENDER","MITTELSCHICHT","5"
"807",1550,"MANN",28,18,"NEUE BUNDESLAENDER","OBERE MITTELSCHICHT","3"
"808",1500,"MANN",23,12,"ALTE BUNDESLAENDER","MITTELSCHICHT","8"
"809",1000,"FRAU",35,10,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","6"
"810",900,"FRAU",46,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","8"
"811",1050,"FRAU",33,18,"NEUE BUNDESLAENDER","MITTELSCHICHT","9"
"812",1800,"MANN",46,10,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","6"
"813",NA,"MANN",28,17,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"814",680,"FRAU",78,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","7"
"815",800,"FRAU",21,13,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","3"
"816",1300,"MANN",75,17,"NEUE BUNDESLAENDER","MITTELSCHICHT","5"
"817",1550,"MANN",45,10,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","3"
"818",3000,"MANN",68,NA,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","5"
"819",550,"FRAU",24,18,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"820",NA,"MANN",45,14,"NEUE BUNDESLAENDER","MITTELSCHICHT","10"
"821",638,"MANN",70,8,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","2"
"822",2200,"MANN",49,12,"ALTE BUNDESLAENDER","MITTELSCHICHT","7"
"823",2000,"FRAU",54,14,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","6"
"824",2500,"MANN",40,13,"ALTE BUNDESLAENDER","MITTELSCHICHT","4"
"825",2000,"MANN",36,15,"ALTE BUNDESLAENDER","MITTELSCHICHT","7"
"826",1220,"FRAU",47,12,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","4"
"827",2300,"MANN",83,16,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","1"
"828",1450,"MANN",74,8,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","8"
"829",2800,"MANN",28,16,"NEUE BUNDESLAENDER","MITTELSCHICHT","7"
"830",1700,"FRAU",46,9,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","5"
"831",960,"FRAU",73,8,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","6"
"832",440,"FRAU",77,8,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","5"
"833",3500,"FRAU",50,18,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","6"
"834",450,"FRAU",21,13,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","10"
"835",1650,"MANN",65,10,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","5"
"836",NA,"FRAU",74,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","8"
"837",NA,"FRAU",52,16,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"838",440,"MANN",20,9,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","7"
"839",1500,"MANN",35,13,"NEUE BUNDESLAENDER","OBERE MITTELSCHICHT","8"
"840",650,"FRAU",50,10,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","4"
"841",1200,"FRAU",44,18,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","7"
"842",1300,"FRAU",65,10,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","5"
"843",NA,"FRAU",40,15,"NEUE BUNDESLAENDER","MITTELSCHICHT","4"
"844",1000,"FRAU",53,13,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","7"
"845",1950,"MANN",78,20,"NEUE BUNDESLAENDER","MITTELSCHICHT","3"
"846",700,"MANN",34,8,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","1"
"847",800,"FRAU",64,12,"NEUE BUNDESLAENDER","MITTELSCHICHT","2"
"848",800,"FRAU",21,16,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"849",1189,"MANN",68,11,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","7"
"850",478,"MANN",19,10,"NEUE BUNDESLAENDER","MITTELSCHICHT","6"
"851",450,"FRAU",44,10,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","5"
"852",1000,"FRAU",47,12,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","5"
"853",NA,"MANN",65,9,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","6"
"854",1500,"MANN",74,11,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","6"
"855",NA,"FRAU",59,12,"ALTE BUNDESLAENDER","MITTELSCHICHT","7"
"856",NA,"FRAU",37,10,"NEUE BUNDESLAENDER","MITTELSCHICHT","4"
"857",1200,"MANN",71,21,"NEUE BUNDESLAENDER","MITTELSCHICHT","3"
"858",3000,"MANN",40,21,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","3"
"859",NA,"MANN",27,15,"NEUE BUNDESLAENDER","ARBEITERSCHICHT",NA
"860",360,"FRAU",42,10,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","6"
"861",NA,"MANN",38,18,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","5"
"862",960,"MANN",78,8,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","5"
"863",1200,"FRAU",22,12,"ALTE BUNDESLAENDER",NA,"2"
"864",450,"MANN",20,12,"ALTE BUNDESLAENDER","MITTELSCHICHT","1"
"865",2750,"FRAU",62,13,"ALTE BUNDESLAENDER","MITTELSCHICHT","3"
"866",NA,"FRAU",61,10,"NEUE BUNDESLAENDER","MITTELSCHICHT","3"
"867",NA,"FRAU",34,13,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","5"
"868",950,"FRAU",32,17,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","4"
"869",2500,"FRAU",79,11,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"870",620,"MANN",59,8,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","6"
"871",4000,"MANN",79,18,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT",NA
"872",NA,"FRAU",26,19,"ALTE BUNDESLAENDER",NA,NA
"873",800,"FRAU",46,11,"ALTE BUNDESLAENDER","MITTELSCHICHT","7"
"874",2200,"MANN",51,10,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","6"
"875",2300,"FRAU",48,14,"NEUE BUNDESLAENDER","MITTELSCHICHT","5"
"876",650,"FRAU",50,13,"ALTE BUNDESLAENDER","MITTELSCHICHT","7"
"877",450,"FRAU",28,9,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"878",NA,"MANN",60,20,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","5"
"879",3000,"MANN",78,8,"ALTE BUNDESLAENDER","MITTELSCHICHT","2"
"880",580,"FRAU",18,10,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","7"
"881",NA,"FRAU",44,10,"NEUE BUNDESLAENDER","MITTELSCHICHT","3"
"882",1100,"FRAU",49,15,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","6"
"883",2500,"FRAU",70,21,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","5"
"884",1200,"MANN",77,13,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","4"
"885",1500,"FRAU",48,13,"ALTE BUNDESLAENDER","MITTELSCHICHT","2"
"886",NA,"FRAU",18,12,"NEUE BUNDESLAENDER","OBERE MITTELSCHICHT","2"
"887",5500,"MANN",48,19,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","4"
"888",2400,"FRAU",43,13,"NEUE BUNDESLAENDER","MITTELSCHICHT","8"
"889",NA,"FRAU",27,19,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","6"
"890",1200,"FRAU",82,8,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","3"
"891",2600,"MANN",30,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"892",NA,"FRAU",20,15,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","6"
"893",1000,"FRAU",65,11,"ALTE BUNDESLAENDER","MITTELSCHICHT","8"
"894",1000,"FRAU",77,9,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"895",1100,"MANN",77,8,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","2"
"896",1000,"FRAU",54,20,"ALTE BUNDESLAENDER","MITTELSCHICHT","2"
"897",970,"MANN",75,10,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","3"
"898",850,"FRAU",65,NA,"NEUE BUNDESLAENDER","MITTELSCHICHT","6"
"899",404,"FRAU",62,10,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","1"
"900",NA,"FRAU",49,13,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"901",2000,"MANN",46,9,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","6"
"902",755,"MANN",64,20,"ALTE BUNDESLAENDER","OBERSCHICHT","1"
"903",860,"MANN",73,14,"NEUE BUNDESLAENDER","MITTELSCHICHT","8"
"904",1800,"FRAU",69,9,"ALTE BUNDESLAENDER","MITTELSCHICHT",NA
"905",NA,"FRAU",35,13,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"906",850,"MANN",74,13,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"907",500,"FRAU",61,10,"NEUE BUNDESLAENDER","MITTELSCHICHT","3"
"908",750,"FRAU",75,8,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","5"
"909",400,"FRAU",43,10,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","1"
"910",1100,"MANN",74,16,"ALTE BUNDESLAENDER","MITTELSCHICHT","4"
"911",1200,"MANN",44,10,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","6"
"912",2300,"MANN",71,13,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"913",1000,"FRAU",66,NA,"NEUE BUNDESLAENDER","MITTELSCHICHT","5"
"914",NA,"MANN",29,12,"NEUE BUNDESLAENDER","MITTELSCHICHT","4"
"915",827,"FRAU",33,13,"NEUE BUNDESLAENDER","MITTELSCHICHT","2"
"916",2500,"MANN",42,NA,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","3"
"917",2300,"MANN",39,16,"NEUE BUNDESLAENDER","MITTELSCHICHT","4"
"918",1100,"FRAU",49,12,"NEUE BUNDESLAENDER","MITTELSCHICHT","5"
"919",364,"FRAU",42,10,"ALTE BUNDESLAENDER","UNTERSCHICHT","8"
"920",580,"FRAU",74,8,"NEUE BUNDESLAENDER","UNTERSCHICHT","5"
"921",2800,"FRAU",34,20,"ALTE BUNDESLAENDER","MITTELSCHICHT","3"
"922",2400,"MANN",39,10,"ALTE BUNDESLAENDER","MITTELSCHICHT",NA
"923",500,"FRAU",26,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"924",1700,"MANN",31,13,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","5"
"925",550,"FRAU",23,12,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","4"
"926",2100,"MANN",52,10,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","6"
"927",NA,"FRAU",22,15,"ALTE BUNDESLAENDER","MITTELSCHICHT","4"
"928",1500,"FRAU",50,13,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"929",2096,"FRAU",49,17,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"930",NA,"FRAU",55,20,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","5"
"931",1200,"MANN",61,24,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","7"
"932",NA,"FRAU",32,NA,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","5"
"933",1300,"MANN",33,24,"NEUE BUNDESLAENDER","MITTELSCHICHT","7"
"934",515,"FRAU",64,14,"NEUE BUNDESLAENDER","UNTERSCHICHT","5"
"935",1200,"FRAU",38,16,"ALTE BUNDESLAENDER","MITTELSCHICHT","4"
"936",1200,"MANN",80,8,"ALTE BUNDESLAENDER","MITTELSCHICHT","7"
"937",500,"FRAU",34,13,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","5"
"938",NA,"MANN",56,16,"NEUE BUNDESLAENDER","MITTELSCHICHT","3"
"939",1800,"MANN",90,8,"NEUE BUNDESLAENDER","MITTELSCHICHT","2"
"940",2500,"MANN",38,14,"ALTE BUNDESLAENDER","MITTELSCHICHT","7"
"941",1300,"FRAU",78,15,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","1"
"942",2400,"FRAU",67,NA,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","3"
"943",1800,"MANN",77,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","4"
"944",1600,"MANN",64,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"945",300,"FRAU",46,NA,"NEUE BUNDESLAENDER","MITTELSCHICHT","6"
"946",NA,"MANN",56,11,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","8"
"947",NA,"MANN",53,13,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"948",NA,"MANN",70,NA,"ALTE BUNDESLAENDER","MITTELSCHICHT","7"
"949",3000,"FRAU",57,10,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT",NA
"950",3300,"MANN",28,20,"NEUE BUNDESLAENDER","OBERE MITTELSCHICHT","6"
"951",800,"FRAU",30,NA,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","8"
"952",2250,"MANN",57,9,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"953",1300,"MANN",49,12,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","3"
"954",1000,"MANN",65,8,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","8"
"955",NA,"FRAU",30,8,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","6"
"956",2150,"MANN",45,15,"NEUE BUNDESLAENDER","MITTELSCHICHT","6"
"957",2500,"MANN",50,9,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"958",780,"FRAU",57,9,"ALTE BUNDESLAENDER","UNTERSCHICHT","8"
"959",700,"FRAU",77,NA,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"960",1600,"MANN",30,11,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"961",720,"MANN",51,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","7"
"962",600,"MANN",19,11,"ALTE BUNDESLAENDER",NA,NA
"963",NA,"MANN",46,13,"NEUE BUNDESLAENDER","MITTELSCHICHT","6"
"964",4000,"MANN",49,16,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","4"
"965",4600,"MANN",45,19,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","5"
"966",1200,"FRAU",70,16,"NEUE BUNDESLAENDER","ARBEITERSCHICHT",NA
"967",1300,"MANN",52,9,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"968",1400,"FRAU",31,10,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","6"
"969",NA,"FRAU",53,10,"NEUE BUNDESLAENDER","UNTERSCHICHT","9"
"970",NA,"MANN",43,10,"NEUE BUNDESLAENDER","MITTELSCHICHT","5"
"971",1700,"MANN",64,12,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"972",285,"FRAU",40,8,"NEUE BUNDESLAENDER","UNTERSCHICHT","6"
"973",NA,"MANN",73,11,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"974",1900,"MANN",64,12,"NEUE BUNDESLAENDER","MITTELSCHICHT","4"
"975",NA,"MANN",47,16,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"976",1600,"MANN",29,12,"NEUE BUNDESLAENDER","MITTELSCHICHT","7"
"977",NA,"FRAU",50,13,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"978",714,"MANN",51,8,"NEUE BUNDESLAENDER","UNTERSCHICHT","6"
"979",2500,"FRAU",63,11,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","6"
"980",500,"FRAU",24,14,"ALTE BUNDESLAENDER","MITTELSCHICHT","3"
"981",450,"FRAU",35,13,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"982",1500,"MANN",75,NA,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","8"
"983",NA,"MANN",56,NA,"NEUE BUNDESLAENDER","MITTELSCHICHT","5"
"984",2000,"MANN",80,12,"NEUE BUNDESLAENDER","MITTELSCHICHT","2"
"985",NA,"MANN",45,14,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","5"
"986",320,"FRAU",70,8,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"987",1840,"MANN",40,13,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"988",1900,"FRAU",35,12,"NEUE BUNDESLAENDER","MITTELSCHICHT","5"
"989",220,"FRAU",63,9,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"990",820,"FRAU",52,11,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"991",3400,"FRAU",32,13,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","4"
"992",NA,"FRAU",44,10,"ALTE BUNDESLAENDER","MITTELSCHICHT",NA
"993",NA,"FRAU",38,22,"NEUE BUNDESLAENDER","OBERE MITTELSCHICHT","2"
"994",300,"MANN",25,12,"ALTE BUNDESLAENDER","MITTELSCHICHT","7"
"995",950,"FRAU",65,10,"NEUE BUNDESLAENDER","MITTELSCHICHT","6"
"996",1900,"FRAU",67,12,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"997",700,"FRAU",49,13,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"998",2300,"MANN",76,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"999",2000,"FRAU",40,17,"NEUE BUNDESLAENDER","MITTELSCHICHT","3"
"1000",NA,"FRAU",80,16,"ALTE BUNDESLAENDER","MITTELSCHICHT","8"
"1001",300,"MANN",19,14,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","5"
"1002",2000,"MANN",53,15,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","5"
"1003",3300,"MANN",49,10,"NEUE BUNDESLAENDER","MITTELSCHICHT","6"
"1004",1500,"FRAU",23,11,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"1005",4000,"MANN",59,14,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"1006",2350,"FRAU",52,13,"ALTE BUNDESLAENDER","MITTELSCHICHT","7"
"1007",NA,"FRAU",41,13,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"1008",NA,"FRAU",61,NA,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","5"
"1009",NA,"MANN",39,17,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","6"
"1010",720,"FRAU",20,12,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","4"
"1011",615,"MANN",70,13,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","1"
"1012",NA,"FRAU",44,10,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT",NA
"1013",900,"FRAU",62,8,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","5"
"1014",NA,"FRAU",59,15,"NEUE BUNDESLAENDER","MITTELSCHICHT",NA
"1015",NA,"MANN",55,10,"NEUE BUNDESLAENDER","MITTELSCHICHT","2"
"1016",450,"FRAU",19,11,"ALTE BUNDESLAENDER","MITTELSCHICHT","4"
"1017",NA,"MANN",50,10,"NEUE BUNDESLAENDER","MITTELSCHICHT",NA
"1018",2400,"MANN",68,11,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"1019",1620,"FRAU",26,16,"ALTE BUNDESLAENDER","MITTELSCHICHT","3"
"1020",1550,"FRAU",62,12,"ALTE BUNDESLAENDER","MITTELSCHICHT","1"
"1021",NA,"MANN",72,20,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","4"
"1022",NA,"FRAU",18,12,"NEUE BUNDESLAENDER","OBERE MITTELSCHICHT","5"
"1023",4250,"MANN",56,14,"NEUE BUNDESLAENDER","MITTELSCHICHT","7"
"1024",NA,"FRAU",19,12,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","7"
"1025",300,"FRAU",60,12,"ALTE BUNDESLAENDER","ARBEITERSCHICHT",NA
"1026",1400,"FRAU",40,10,"NEUE BUNDESLAENDER","MITTELSCHICHT","3"
"1027",NA,"FRAU",58,16,"ALTE BUNDESLAENDER","MITTELSCHICHT",NA
"1028",450,"FRAU",28,17,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"1029",400,"FRAU",53,10,"NEUE BUNDESLAENDER","ARBEITERSCHICHT",NA
"1030",950,"MANN",23,NA,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","6"
"1031",4000,"MANN",50,10,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","5"
"1032",1650,"FRAU",59,10,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","5"
"1033",1700,"FRAU",58,10,"NEUE BUNDESLAENDER","MITTELSCHICHT","1"
"1034",850,"FRAU",59,12,"NEUE BUNDESLAENDER","MITTELSCHICHT","6"
"1035",1200,"MANN",76,8,"ALTE BUNDESLAENDER","MITTELSCHICHT","10"
"1036",NA,"MANN",47,15,"ALTE BUNDESLAENDER","MITTELSCHICHT","4"
"1037",NA,"FRAU",71,17,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"1038",1100,"FRAU",50,10,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","5"
"1039",8000,"MANN",48,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"1040",700,"MANN",58,8,"NEUE BUNDESLAENDER","MITTELSCHICHT","3"
"1041",4100,"MANN",59,17,"NEUE BUNDESLAENDER","OBERE MITTELSCHICHT","5"
"1042",5000,"MANN",59,8,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"1043",1000,"FRAU",62,13,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"1044",3000,"MANN",53,18,"ALTE BUNDESLAENDER","MITTELSCHICHT","7"
"1045",500,"MANN",20,12,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"1046",3000,"MANN",34,10,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","6"
"1047",NA,"FRAU",45,12,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"1048",4000,"MANN",53,16,"ALTE BUNDESLAENDER","MITTELSCHICHT","8"
"1049",2000,"MANN",54,NA,"ALTE BUNDESLAENDER","MITTELSCHICHT","3"
"1050",600,"FRAU",56,13,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"1051",3450,"MANN",59,NA,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","5"
"1052",2200,"MANN",83,8,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"1053",NA,"MANN",72,NA,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"1054",1600,"MANN",25,NA,"ALTE BUNDESLAENDER","MITTELSCHICHT","8"
"1055",3500,"MANN",38,18,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","3"
"1056",NA,"FRAU",46,9,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"1057",550,"FRAU",86,11,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"1058",2200,"MANN",45,10,"NEUE BUNDESLAENDER","MITTELSCHICHT","6"
"1059",2000,"MANN",27,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","4"
"1060",1300,"FRAU",25,15,"ALTE BUNDESLAENDER","MITTELSCHICHT","3"
"1061",890,"MANN",78,8,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","10"
"1062",900,"FRAU",76,8,"NEUE BUNDESLAENDER","MITTELSCHICHT","6"
"1063",450,"FRAU",42,12,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"1064",1860,"FRAU",29,17,"NEUE BUNDESLAENDER","MITTELSCHICHT","3"
"1065",NA,"FRAU",18,12,"ALTE BUNDESLAENDER","MITTELSCHICHT","5"
"1066",3000,"MANN",58,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","7"
"1067",560,"FRAU",68,10,"NEUE BUNDESLAENDER","MITTELSCHICHT","6"
"1068",3200,"MANN",51,18,"ALTE BUNDESLAENDER","MITTELSCHICHT","4"
"1069",1100,"FRAU",54,11,"ALTE BUNDESLAENDER","MITTELSCHICHT","4"
"1070",1450,"FRAU",63,12,"NEUE BUNDESLAENDER","MITTELSCHICHT","4"
"1071",300,"MANN",30,9,"ALTE BUNDESLAENDER","MITTELSCHICHT","7"
"1072",2600,"MANN",64,19,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","4"
"1073",2600,"MANN",60,15,"ALTE BUNDESLAENDER","MITTELSCHICHT","1"
"1074",3000,"FRAU",47,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","7"
"1075",600,"MANN",66,13,"NEUE BUNDESLAENDER","MITTELSCHICHT","6"
"1076",NA,"MANN",80,NA,"ALTE BUNDESLAENDER","MITTELSCHICHT","7"
"1077",600,"FRAU",57,9,"ALTE BUNDESLAENDER","ARBEITERSCHICHT","5"
"1078",1200,"MANN",69,8,"NEUE BUNDESLAENDER","ARBEITERSCHICHT","5"
"1079",7500,"MANN",61,12,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","5"
"1080",2000,"FRAU",51,10,"NEUE BUNDESLAENDER","MITTELSCHICHT","5"
"1081",3300,"MANN",44,16,"ALTE BUNDESLAENDER","MITTELSCHICHT","7"
"1082",3000,"MANN",58,10,"ALTE BUNDESLAENDER","MITTELSCHICHT","6"
"1083",2600,"MANN",65,10,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","5"
"1084",1100,"FRAU",52,15,"ALTE BUNDESLAENDER","MITTELSCHICHT","2"
"1085",1500,"FRAU",45,NA,"ALTE BUNDESLAENDER","OBERE MITTELSCHICHT","5"
